osquery> SELECT count(1) as num,filetype,path FROM process_memory_map where path != '' GROUP BY path ORDER BY num DESC;
+-----+----------+---------------------------------------------------------------------------------------------------------------------------------------------+
| num | filetype | path                                                                                                                                        |
| 35  | file     | C:\WINDOWS\SYSTEM32\dhcpcsvc6.DLL                                                                                                           |
| 35  | file     | C:\WINDOWS\SYSTEM32\ondemandconnroutehelper.dll                                                                                             |
| 35  | file     | C:\WINDOWS\SYSTEM32\wincorlib.DLL                                                                                                           |
| 35  | file     | C:\WINDOWS\System32\Bcrypt.dll                                                                                                              |
| 35  | file     | C:\WINDOWS\System32\StructuredQuery.dll                                                                                                     |
| 35  | file     | C:\WINDOWS\system32\DataExchange.dll                                                                                                        |
| 35  | file     | C:\WINDOWS\system32\directmanipulation.dll                                                                                                  |
| 35  | file     | C:\WINDOWS\system32\rsaenh.dll                                                                                                              |
| 35  | file     | C:\Windows\System32\usermgrproxy.dll                                                                                                        |
| 33  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\System.Thre3435c1dc#\6ee812bb447a0559bdf295ada955635c\System.Threading.Tasks.Dataflow.ni.dll |
| 32  | file     | C:\WINDOWS\system32\dcomp.dll                                                                                                               |
| 32  | file     | C:\Windows\System32\urlmon.dll                                                                                                              |
| 31  | file     | C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe\SharedLibrary.dll                            |
| 31  | file     | C:\WINDOWS\system32\dxgi.dll                                                                                                                |
| 30  | file     | C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe\VCRUNTIME140_APP.dll                                   |
| 30  | file     | C:\WINDOWS\SYSTEM32\DPAPI.DLL                                                                                                               |
| 30  | file     | C:\WINDOWS\SYSTEM32\NETUTILS.DLL                                                                                                            |
| 30  | file     | C:\WINDOWS\SYSTEM32\SAMCLI.DLL                                                                                                              |
| 30  | file     | C:\WINDOWS\SYSTEM32\WINHTTP.dll                                                                                                             |
| 30  | file     | C:\WINDOWS\SYSTEM32\firewallapi.dll                                                                                                         |
| 30  | file     | C:\WINDOWS\SYSTEM32\fwbase.dll                                                                                                              |
| 30  | file     | C:\WINDOWS\SYSTEM32\logoncli.dll                                                                                                            |
| 30  | file     | C:\WINDOWS\SYSTEM32\mskeyprotect.dll                                                                                                        |
| 30  | file     | C:\WINDOWS\System32\CLDAPI.dll                                                                                                              |
| 30  | file     | C:\WINDOWS\System32\FLTLIB.DLL                                                                                                              |
| 30  | file     | C:\WINDOWS\System32\LINKINFO.dll                                                                                                            |
| 30  | file     | C:\WINDOWS\System32\davclnt.dll                                                                                                             |
| 30  | file     | C:\WINDOWS\System32\edputil.dll                                                                                                             |
| 30  | file     | C:\WINDOWS\system32\conhost.exe                                                                                                             |
| 30  | file     | C:\WINDOWS\system32\schannel.DLL                                                                                                            |
| 30  | file     | C:\Windows\System32\AppXDeploymentClient.dll                                                                                                |
| 30  | file     | C:\Windows\System32\StateRepository.Core.dll                                                                                                |
| 30  | file     | C:\Windows\System32\Windows.Web.dll                                                                                                         |
| 30  | file     | C:\Windows\System32\appresolver.dll                                                                                                         |
| 30  | file     | C:\Windows\System32\dusmapi.dll                                                                                                             |
| 30  | file     | C:\Windows\System32\rasadhlp.dll                                                                                                            |
| 29  | file     | C:\WINDOWS\SYSTEM32\icuin.dll                                                                                                               |
| 29  | file     | C:\WINDOWS\system32\ESENT.dll                                                                                                               |
| 28  | file     | C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe\CONCRT140_APP.dll                                      |
| 28  | file     | C:\WINDOWS\SYSTEM32\RTWorkQ.DLL                                                                                                             |
