osquery> SELECT count(1) as num,path FROM process_memory_map GROUP BY path ORDER BY num DESC, path ASC;
+------+-------------------------------------------------------------------------------------+
| num  | path                                                                                |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamelnntp.so                      |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamelpop3.so                      |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamelsendmail.so                  |
| 24   | /usr/lib/evolution-data-server/camel-providers/libcamelsmtp.so                      |
| 24   | /usr/lib/x86_64-linux-gnu/gdk-pixbuf-2.0/2.10.0/loaders/libpixbufloader-png.so      |
| 24   | /usr/lib/x86_64-linux-gnu/libcamel-1.2.so.61.0.0                                    |
| 24   | /usr/lib/x86_64-linux-gnu/libedataserver-1.2.so.23.0.0                              |
| 24   | /usr/lib/x86_64-linux-gnu/libgdata.so.22.3.0                                        |
| 24   | /usr/lib/x86_64-linux-gnu/libical.so.3.0.1                                          |
| 24   | /usr/lib/x86_64-linux-gnu/libsmime3.so                                              |
| 24   | /usr/lib/x86_64-linux-gnu/libssl3.so                                                |
| 20   | /usr/lib/x86_64-linux-gnu/gdk-pixbuf-2.0/2.10.0/loaders/libpixbufloader-svg.so      |
| 20   | /usr/lib/x86_64-linux-gnu/libXtst.so.6.1.0                                          |
| 20   | /usr/lib/x86_64-linux-gnu/libcroco-0.6.so.3.0.1                                     |
| 20   | /usr/lib/x86_64-linux-gnu/libdb-5.3.so                                              |
| 20   | /usr/lib/x86_64-linux-gnu/libebackend-1.2.so.10.0.0                                 |
| 20   | /usr/lib/x86_64-linux-gnu/librsvg-2.so.2.40.20                                      |
| 20   | /var/cache/fontconfig/2300eef321c393bfd76478a5c0e95b23-le64.cache-7                 |
| 19   | /var/cache/fontconfig/d589a48862398ed80a3d6066f4f56f4c-le64.cache-7                 |
| 18   | /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache                                 |
| 16   | /lib/x86_64-linux-gnu/libaudit.so.1.0.0                                             |
| 16   | /lib/x86_64-linux-gnu/libbz2.so.1.0.4                                               |
| 16   | /lib/x86_64-linux-gnu/libcap-ng.so.0.0.0                                            |
| 16   | /lib/x86_64-linux-gnu/libnss_systemd.so.2                                           |
| 16   | /lib/x86_64-linux-gnu/libtinfo.so.5.9                                               |
| 16   | /lib/x86_64-linux-gnu/libwrap.so.0.7.6                                              |
| 16   | /usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so                        |
| 16   | /usr/lib/x86_64-linux-gnu/gvfs/libgvfsdaemon.so                                     |
